照明0,照明1,照明2,照明3,照明4,照明5,照明6,照明7,照明8,照明9,照明10,照明11,照明12,照明13,照明14,センサ0,センサ1,センサ2,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1017.5,390.0,390.0,390.0,295,405,285,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1029.0,390.0,390.0,390.0,295,406,285,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1040.4,390.0,390.0,390.0,295,406,286,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1051.8000000000002,390.0,390.0,390.0,295,407,286,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1063.1000000000001,390.0,390.0,390.0,295,407,287,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1074.4,390.0,390.0,390.0,295,407,287,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1085.6000000000001,390.0,390.0,390.0,295,408,288,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1096.8000000000002,390.0,390.0,390.0,295,408,288,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1107.9,390.0,390.0,390.0,295,409,289,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1119.0,390.0,390.0,390.0,295,409,289,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1130.0,390.0,390.0,390.0,295,409,290,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1141.0,390.0,390.0,390.0,295,410,290,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1151.9,390.0,390.0,390.0,296,410,291,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1162.8000000000002,390.0,390.0,390.0,296,411,291,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1173.6000000000001,390.0,390.0,390.0,296,411,292,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1184.4,390.0,390.0,390.0,296,411,292,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1195.1000000000001,390.0,390.0,390.0,296,412,293,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1205.8000000000002,390.0,390.0,390.0,296,412,293,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1216.5000000000002,390.0,390.0,390.0,296,413,293,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1227.1000000000001,390.0,390.0,390.0,296,413,294,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1237.7,390.0,390.0,390.0,296,413,294,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1248.2,390.0,390.0,390.0,296,414,295,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1258.7,390.0,390.0,390.0,296,414,295,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1269.1000000000001,390.0,390.0,390.0,296,414,296,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1279.5000000000002,390.0,390.0,390.0,296,415,296,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1289.8000000000002,390.0,390.0,390.0,296,415,297,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,390.0,390.0,390.0,297,416,297,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,400.2,390.0,390.0,297,416,298,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,410.4,390.0,390.0,297,416,298,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,420.59999999999997,390.0,390.0,297,417,298,
